,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,texture,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_Weightloss_manure,co-response_group_disease_spread
MC54 1A,7.846,2.4,2180.0,1.1,46.0,2195.0,94.0,249.0,91.0,23.56850488000195,0,33.0,1.03672,0.175390658,2.3351129561635267,0.1071053477499999,0.04,2.0,0.092427986,0,0,23.0,0.0,7.0,0,0.13686537,15.93389433,0.02802645576100033,0.09251634404733103,0.110707241628399,0.03626136284954653
MC08 1A,8.094,1.6,1310.0,1.6,120.0,275.0,80.0,166.0,89.0,12.68335135696511,0,15.5,1.4347,0.144062742,0.7176316720844995,0.0828433103571428,0.06,4.0,0.086512451,0,1,25.0,6960.0,4.0,0,0.175980379,47.91311332,0.03715477076997121,0.076419263235517,0.1031078036434883,0.0337742633945056
MC08 1B,8.043,1.6,1350.0,1.4,93.0,265.0,80.0,185.0,90.0,12.92971609289467,0,16.5,1.4412,0.149024828,1.1023562285402029,0.0021652109285714,0.03,2.0,0.099855559,0,1,25.0,6960.0,4.0,0,0.171370939,13.83051659,0.023096686663340898,0.08015163974579981,0.10566960992808186,0.0348575913123085
MC08 1C,8.054,1.7,1340.0,1.4,134.0,255.0,84.0,177.0,90.0,13.566706483799814,0,10.75,1.4314,0.148866595,0.701116501069134,0.0464150459285714,0.08,5.0,0.085911948,0,1,25.0,6960.0,4.0,0,0.130961422,12.54746585,0.03419879645848446,0.05835574156149081,0.1055069701496119,0.0233563297169508
MO08 2A,8.001,1.1,1260.0,1.7,67.0,255.0,59.0,123.0,92.0,12.125385339360474,0,3.0,1.2447,0.078110129,2.6395041872891727,0.2012497757142857,0.18,2.0,0.107110418,1,2,22.0,0.0,4.0,0,0.209106782,44.43240343,0.04738593517811461,0.0757895602145842,0.1101853697588477,0.033295854834162204
MO08 2B,7.958,1.0,1000.0,2.4,69.0,200.0,67.0,129.0,91.0,11.792454772408464,0,2.0,1.5147,0.065162907,0.8700218180752166,0.1374845040714285,0.41,2.0,0.111875046,1,2,22.0,0.0,4.0,0,0.180555788,60.16050606,0.0422345576694642,0.0904117116285485,0.1178532802087992,0.0337146780556402
MC08 2A,7.932,1.6,1390.0,2.0,104.0,265.0,87.0,167.0,90.0,12.526820189586443,0,16.75,1.1967,0.148819366,1.030168088959,0.0497397426071428,0.18,3.0,0.096647233,0,1,25.0,6960.0,4.0,0,0.144113104,27.66504844,0.028911966406147502,0.09043739421825801,0.10824853295392337,0.0317782662338722
MC08 2C,7.896,1.8,1380.0,1.4,63.0,275.0,87.0,182.0,89.0,14.367264834548845,0,12.75,1.2086,0.14986217,1.4610848684459958,0.0482762378571427,0.08,4.0,0.103304725,0,1,25.0,6960.0,4.0,0,0.138526639,21.79434375,0.024581467747224403,0.0837090938531892,0.11397042837482181,0.0282563343235332
MC26 1A,7.996,1.2,970.0,1.2,63.0,150.0,74.0,147.0,93.0,13.17122053363315,0,25.75,1.355,0.190890092,0.6055242585815626,0.0224227542857143,0.41,5.0,0.081422393,0,1,27.0,0.0,6.0,1,0.147893945,75.332516,0.021823357000321,0.0681427380901489,0.100249873337944,0.0270682118260819
MC26 1B,8.078,1.2,1100.0,1.8,89.0,285.0,67.0,153.0,90.0,14.07092089701196,0,27.75,1.4246,0.170856181,1.2878235368742803,0.0665669212857142,0.27,4.0,0.095316607,0,1,27.0,0.0,6.0,1,0.21916562,70.71363862,0.0351112593967557,0.07929422396204151,0.09732054103064959,0.032202307252275
