,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_disease_spread,co-response_group_Weightloss_manure
MC07 1C,7.928,1.5,1410.0,1.7,84.0,235.0,55.0,165.0,92.0,12.706088937012892,35.0,1.6804,0.177668672,0.9106351547578964,0.0956438863928571,0.06,3.0,0.104187635,0,2,22.0,2212.0,3.0,0,0.210069823,16.33820298,0.04806626560484829,0.048777553500853,0.0411317316338704,0.0759091963419786
MO07 2A,7.916,1.5,1450.0,0.9,78.0,235.0,89.0,195.0,91.0,10.401832453202228,18.0,1.5887,0.177220312,0.4382908385391084,0.0885523705,0.5,3.0,0.099534856,1,1,18.0,0.0,7.0,1,0.259454255,14.19666402,0.06037583577606959,0.0819254142197077,0.02917539937339892,0.09613132010625151
MO07 2B,7.908,1.8,1570.0,1.3,92.0,265.0,87.0,192.0,92.0,9.693432134868363,13.0,1.4856,0.177016102,0.5605361222852783,0.1044802551785714,0.93,6.0,0.127045581,1,1,18.0,0.0,7.0,1,0.205967548,7.829419601,0.0530237914230934,0.08757203483829608,0.025817839533472837,0.0905114507237871
MO07 2C,7.907,1.9,1550.0,1.0,84.0,265.0,92.0,198.0,90.0,10.00015177607636,9.75,1.5791,0.18733567,0.6650647028081704,0.0557515695,0.46,3.0,0.127058943,1,1,18.0,0.0,7.0,1,0.338403804,20.95747116,0.0542091391317215,0.074502771662475,0.031546053981749506,0.092697308221866
MC07 2A,8.048,1.4,970.0,0.9,91.0,225.0,72.0,140.0,90.0,13.988421386082736,10.0,1.3531,0.169155063,1.8488696950294352,0.5447551264642857,0.2,4.0,0.117169221,0,1,25.0,6960.0,5.0,0,0.139035696,18.35322994,0.07851640379990758,0.06937411018211,0.015641683964061,0.0976781255485286
MC07 2B,8.056,1.2,1010.0,0.8,58.0,235.0,75.0,150.0,91.0,15.069964823612253,33.25,1.3599,0.168887168,3.2809079749016705,0.0905511556785714,0.41,5.0,0.11013588,0,1,25.0,6960.0,5.0,0,0.152444892,28.730256,0.0694712302254923,0.06488398610715101,0.0200424917722884,0.09005745165950939
MC07 2C,8.017,1.2,1030.0,0.7,46.0,180.0,77.0,159.0,93.0,14.92019398821711,23.5,1.4923,0.172371531,1.350597561307861,0.0863598987857142,0.04,5.0,0.104215576,0,1,25.0,6960.0,5.0,0,0.157426957,30.24585369,0.06855207648812921,0.0662258454166378,0.022641855742459104,0.0951820783440498
MC54 2B,8.025,2.2,1690.0,0.7,130.0,2200.0,102.0,242.0,92.0,21.764801184970736,19.5,1.1622,0.162250028,2.114643551874086,0.1341710777142857,0.59,7.0,0.091292065,0,0,23.0,0.0,7.0,0,0.13689029,31.85166775,0.0464223984651581,0.0690978451073456,0.0405646953514754,0.0657810590268119
MC54 2C,8.048,2.4,1830.0,1.0,71.0,2070.0,102.0,257.0,91.0,20.99712962260523,25.0,1.0873,0.173861371,0.9338505308519892,0.1638473244642857,0.11,2.0,0.071633031,0,0,23.0,0.0,7.0,0,0.132547255,23.48929089,0.047203707120066704,0.07231177371444979,0.050559726885132605,0.0766086071710798
MO74 1A,7.969,1.6,1700.0,0.7,37.0,630.0,97.0,202.0,93.0,23.26002274793952,2.5,1.3896,0.197773606,0.5450543630150674,0.1737016180714285,0.07,4.0,0.122377084,2,2,15.0,1420.0,6.0,1,0.212065094,18.41367155,0.0537205168101847,0.055506850407781305,0.04317163523976789,0.08430613979571498
MO74 1B,8.051,1.7,1830.0,0.7,32.0,955.0,87.0,204.0,92.0,23.905190140199583,4.0,1.2421,0.200333977,3.146984341875415,0.1506600775,0.1,3.0,0.095107512,2,2,15.0,1420.0,6.0,1,0.222893874,29.99053205,0.053981301567635497,0.06286965567390859,0.0446232045106088,0.08785185552868521
MO74 1C,8.058,1.8,1830.0,0.6,31.0,945.0,86.0,211.0,92.0,21.72382291208692,10.5,1.40448,0.190108525,3.25661413197118,0.1291948139285714,0.13,3.0,0.104042247,2,2,15.0,1420.0,6.0,1,0.216337295,17.81530912,0.053330802233507,0.053372382814449296,0.0451316505731502,0.0916068477007362
MC74 1A,8.051,1.6,1500.0,0.4,117.0,1105.0,81.0,183.0,91.0,17.1354723260714,22.5,1.2608,0.21872665,1.4225063859524538,0.1527268967857143,0.03,3.0,0.113239369,0,1,25.0,2370.0,6.0,0,0.180411297,9.105609054,0.05075943898677349,0.061581478626606394,0.0441696004995372,0.0894835699275396
MC74 1B,8.056,1.9,1420.0,0.5,154.0,990.0,82.0,198.0,91.0,18.49724682114792,25.0,1.3654,0.207097033,1.2696834064699234,0.1528767231071428,0.01,1.0,0.110787841,0,1,25.0,2370.0,6.0,0,0.172407548,8.621183311,0.056327565568568,0.05774634578284229,0.051664874922658005,0.0820092879550217
MO76 1A,8.065,1.1,1140.0,1.0,112.0,685.0,64.0,132.0,89.0,15.196021816405084,33.33333333,1.5269,0.148485695,0.8944986339633652,0.1128849090357142,0.59,6.0,0.107976704,1,1,22.0,0.0,5.0,2,0.14711,19.46515152,0.06280235434813211,0.06879468894670959,0.028230008559047202,0.08833992942734101
MO76 1B,8.052,1.1,1160.0,0.8,136.0,535.0,71.0,137.0,91.0,16.804955206499002,22.5,1.4418,0.159083933,1.5046167280019602,0.0959674651785714,0.21,2.0,0.111710308,1,1,22.0,0.0,5.0,2,0.141047517,23.04071214,0.0741943506530481,0.0708255296196614,0.0366208846691851,0.09379398375915349
